language;question;answer
ben_Beng;প্রশ্ন: লিয়ার 32টি চকোলেট ছিল এবং তার বোনের ছিল 42টি। যদি তারা 35টি খেয়ে থাকে, তাহলে তাদের কাছে মোট কতগুলি অবিশিষ্ট আছে?;ধাপে ধাপে উত্তর: লিয়ার 32টি চকোলেট ছিল এবং লিয়ার বোনের ছিল 42টি। যার অর্থ শুরুতে 32 + 42 = 74টি চকোলেট ছিল। 35টি খাওয়া হয়ে গেছে। তাই তাদের কাছে মোট 74 - 35 = 39টি চকোলট আছে। উত্তর হল 39।
ben_Beng;প্রশ্ন: শনের পাঁচটি খেলনা আছে। ক্রিসমাস উপলক্ষে সে তার মাতা ও পিতা উভয়ের থেকে দুটি করে খেলনা পেয়েছে। তার কাছে এখন কতগুলি খেলনা আছে?;ধাপে ধাপে উত্তর: তার কাছে 5টি খেলনা আছে। সে তার মাতার থেকে 2টি খেলনা পেয়েছিল অতএব, এরপর তার 5 + 2 = 7টি খেলনা হয়েছে। তারপর সে তার পিতার থেকে 2টি খেলনা পেয়েছিল, তাই তার মোট 7 + 2 = 9 টি খেলনা হয়েছে। উত্তর হল 9।
ben_Beng;প্রশ্ন: মাইকেলের 58টি গলফ বল ছিল। মঙ্গলবার, সে 23টি গলফ বল হারিয়েছিল। বুধবার, সে আরও 2টি বল হারিয়েছিল। বুধবারের শেষে তার কাছে কয়টি গলফ বল ছিল?;ধাপে ধাপে উত্তর: শুরুতে মাইকেলের কাছে 58টি গলফ বল ছিল এবং সে 23টি বল হারিয়েছিল, তাই তার 58 - 23 = 35টি বল আছে। আরও 2টি বল হারানোর পর, তার এখন 35 - 2 = 33টি বল আছে। উত্তর হল 33।
ben_Beng;প্রশ্ন: অলিভিয়ার $23 আছে। সে পাঁচটি ব্যাগেল কিনেছিল যার প্রতিটির মূল্য $3। তার কাছে কত অর্থ অবশিষ্ট আছে?;ধাপে ধাপে উত্তর: প্রতিটি ব্যাগেলের মূল্য $3 হলে 5টি ব্যাগেলের মূল্য হওয়া উচিৎ 5 *3 = 15 ডলার। শুরুতে অলিভিয়ার কাছে $23 ছিল, তাই বর্তমানে তার কাছে 23 - 15 = 8 ডলার অবশিষ্ট আছে। উত্তর হল 8।
ben_Beng;প্রশ্ন: জ্যাসনের 20টি ললিপপ ছিল। সে ডেনিকে কিছু ললিপপ দিয়েছিল। বর্তমানে জ্যাসনের কাছে 12টি ললিপপ আছে। জ্যাসন ডেনিকে কতগুলি ললিপপ দিয়েছিল?;ধাপে ধাপে উত্তর: জ্যাসনের কাছে প্রথমে 20টি ললিপপ ছিল, কিন্তু এখন তার কাছে শুধুমাত্র 12টি আছে, তাহলে সে ডেনিকে 20 - 12 = 8টি ললিপপ দিয়েছিল। উত্তর হল 8।
ben_Beng;প্রশ্ন: পার্কিং লটে যদি 3 টি গাড়ি থাকে এবং আরও 2টি গাড়ি আসে, তাহলে পার্কিং লটটিতে কতগুলি গাড়ি আছে?;ধাপে ধাপে উত্তর: শুরুতে সেখানে 3টি গাড়ি ছিল, আরও 2টি গাড়ি আসে, তাহলে বর্তমানে 3 +2 = 5টি গাড়ি থাকা উচিৎ। উত্তর হল 5।
deu_Latn;Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?;Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.
deu_Latn;Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?;Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.
deu_Latn;Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?;Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.
deu_Latn;Frage: Shawn hat fünf Spielzeuge. Zu Weihnachten hat er von seiner Mama und seinem Papa jeweils zwei Spielzeuge bekommen. Wie viele Spielzeuge hat er jetzt?;Schritt-für-Schritt-Antwort: Er hat 5 Spielzeuge. Er hat 2 von seiner Mama bekommen, sodass er nun 5 + 2 = 7 Spielzeuge hat. Dann hat er noch 2 von seinem Papa bekommen, also hat er insgesamt 7 + 2 = 9 Spielzeuge. Die Antwort lautet 9.
deu_Latn;Frage: Michael hat 58 Golfbälle. Am Dienstag hat er 23 Golfbälle verloren. Am Mittwoch hat er 2 weitere verloren. Wie viele Golfbälle hat er Mittwoch am Ende des Tages?;Schritt-für-Schritt-Antwort: Michael hatte anfangs 58 Golfbälle und hat 23 verloren, sodass er 58 - 23 = 35 hat. Nachdem er 2 weitere verloren hat, hat er jetzt 35 - 2 = 33 Bälle. Die Antwort lautet 33.
deu_Latn;Frage: Olivia hat 23 US-Dollar. Sie hat fünf Bagels für 3 US-Dollar pro Stück gekauft. Wie viel Geld hat sie übrig?;Schritt-für-Schritt-Antwort: 5 Bagels für 3 US-Dollar pro Stück kosten 5 x 3 = 15 Dollar. Olivia hat anfangs 23 US-Dollar, also hat sie jetzt 23 - 15 = 8 Dollar übrig. Die Antwort lautet 8.
deu_Latn;Frage: Jason hatte 20 Lutscher. Er hat Denny einige Lutscher gegeben. Jetzt hat Jason 12 Lutscher. Wie viele Lutscher hat Jason Denny gegeben?;Schritt-für-Schritt-Antwort: Jason hat mit 20 Lutschern angefangen, aber jetzt hat er nur 12, also hat er Denny 20 - 12 = 8 Lutscher abgegeben. Die Antwort lautet 8.
deu_Latn;Frage: Wenn 3 Autos auf dem Parkplatz stehen und 2 weitere Autos ankommen, wie viele Autos stehen dann auf dem Parkplatz?;Schritt-für-Schritt-Antwort: Anfangs sind 3 Autos da, 2 weitere kommen an, also sind jetzt 3 + 2 = 5 Autos da. Die Antwort lautet 5.
fre_Latn;Question : Roger a 5 balles de tennis. Il achète 2 autres boîtes de balles de tennis en plus. Si chaque boîte contient 3 balles de tennis, combien de balles de tennis a-t-il maintenant ?;Réponse étape par étape : Roger a commencé avec 5 balles. 2 boîtes de 3 balles de tennis chacune représentent 6 balles de tennis. 5 + 6 = 11. La réponse est 11.
fre_Latn;Question : Il y avait neuf ordinateurs dans la salle des serveurs. Cinq ordinateurs supplémentaires ont été installés chaque jour, du lundi au jeudi. Combien d'ordinateurs y a-t-il maintenant dans la salle des serveurs ?;Réponse étape par étape : De lundi à jeudi, il y a 4 jours. 5 ordinateurs ont été ajoutés par jour. Cela signifie qu'au total, 4 x 5 = 20 ordinateurs ont été ajoutés. Comme il y avait 9 ordinateurs au départ, il y a maintenant 9 + 20 = 29 ordinateurs. La réponse est 29.
fre_Latn;Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?;Réponse étape par étape : Léa avait 32 chocolats et sa sœur en avait 42. Cela signifie qu'il y avait à l'origine 32 + 42 = 74 chocolats. 35 chocolats ont été mangés. Il leur en reste donc au total 74 - 35 = 39 chocolats. La réponse est 39.
fre_Latn;Question : Shawn a cinq jouets. Pour Noël, papa et maman lui ont offert deux jouets chacun. Combien de jouets a-t-il maintenant ?;Réponse étape par étape : Il a 5 jouets. Il en a reçu 2 de maman, ce qui fait qu'il a 5 + 2 = 7 jouets. Ensuite, il a reçu 2 autres jouets de papa. Cela fait donc un total de 7 + 2 = 9 jouets. La réponse est 9.
fre_Latn;Question : Michael avait 58 balles de golf. Mardi, il a perdu 23 balles de golf. Mercredi, il en a perdu 2 autres. De combien de balles de golf disposait-il à la fin du mercredi ?;Réponse étape par étape : Michael a commencé avec 58 balles de golf et en a perdu 23. Il lui reste donc 58 - 23 = 35. Après en avoir perdu 2 autres, il lui reste 35 - 2 = 33 balles. La réponse est 33.
fre_Latn;Question : Olivia a 23 $. Elle a acheté cinq bagels à 3 $ chacun. Combien d'argent lui reste-t-il ?;Réponse étape par étape : 5 bagels à 3 $ chacun coûtent 5 x 3 = 15 dollars. Olivia avait 23 dollars au départ, il lui reste donc 23 - 15 = 8 dollars. La réponse est 8.
fre_Latn;Question : Jason avait 20 sucettes. Il en a donné à Denny et il ne lui en reste plus que 12 à présent. Combien de sucettes Jason a-t-il donné à Denny ?;Réponse étape par étape : Au départ, Jason avait 20 sucettes. Il n'en a plus que 12, alors il a donné à Denny 20 - 12 = 8 sucettes. La réponse est 8.
fre_Latn;Question : S'il y a 3 voitures dans le parking et que 2 autres arrivent, combien de voitures y a-t-il maintenant dans le parking ?;Réponse étape par étape : Au début, il y a 3 voitures, puis 2 autres arrivent. Ça fait donc 3 + 2 = 5 voitures. La réponse est 5.
spa_Latn;Pregunta: Roger tiene 5 pelotas de tenis. Compra 2 tubos más de pelotas de tenis. Cada tubo contiene 3 pelotas de tenis. ¿Cuántas pelotas de tenis tiene ahora?;Respuesta paso a paso: Roger comenzó con 5 pelotas. 2 tubos de 3 pelotas de tenis cada uno equivale a 6 pelotas de tenis. 5 + 6 = 11. La respuesta es 11.
spa_Latn;Pregunta: Había nueve computadoras en la sala de servidores. Se instalaron cinco computadoras cada día, de lunes a jueves. ¿Cuántas computadoras hay ahora en la sala de servidores?;Respuesta paso a paso: Hay 4 días de lunes a jueves. Se agregaron 5 computadoras cada día. Eso significa que en total se agregaron 4 * 5 = 20 computadoras. Al principio, había 9 computadoras, por lo que ahora hay 9 + 20 = 29 computadoras. La respuesta es 29.
spa_Latn;Pregunta: Leah tenía 32 chocolates y su hermana tenía 42. Si se comieron 35, ¿cuántos chocolates les quedan en total?;Respuesta paso a paso: Leah tenía 32 chocolates y la hermana de Leah tenía 42. Quiere decir que originalmente había 32 + 42 = 74 chocolates. Se comieron 35. Por lo tanto, en total todavía tienen 74 - 35 = 39 chocolates. La respuesta es 39.
spa_Latn;Pregunta: Shawn tiene cinco juguetes. Para Navidad, recibió dos juguetes de su mamá y dos de su papá. ¿Cuántos juguetes tiene ahora?;Respuesta paso a paso: Tiene 5 juguetes. Recibió 2 de la mamá, por lo que después de eso tiene 5 + 2 = 7 juguetes. Luego, recibió 2 más del papá, así que en total tiene 7 + 2 = 9 juguetes. La respuesta es 9.
spa_Latn;Pregunta: Michael tenía 58 pelotas de golf. El martes, perdió 23 pelotas de golf. El miércoles, perdió 2 más. ¿Cuántas pelotas de golf tenía al final del miércoles?;Respuesta paso a paso: Michael comenzó con 58 pelotas de golf y perdió 23, por lo tanto tiene 58 - 23 = 35. Después de perder 2 más, ahora tiene 35 - 2 = 33 pelotas. La respuesta es 33.
spa_Latn;Pregunta: Olivia tiene $23. Compró cinco roscas a $3 cada una. ¿Cuánto dinero le queda?;Respuesta paso a paso: 5 roscas a $3 cada una deben costar 5 * 3 = 15 dólares. Olivia tenía $23 al principio, por lo tanto ahora le quedan 23 - 15 = 8 dólares. La respuesta es 8.
spa_Latn;Pregunta: Jason tenía 20 chupetines. Le dio algunos chupetines a Denny. Ahora Jason tiene 12 chupetines. ¿Cuántos chupetines le dio Jason a Denny?;Respuesta paso a paso: Jason comenzó con 20 chupetines, pero ahora solo tiene 12, por lo tanto le dio a Denny 20 - 12 = 8 chupetines. La respuesta es 8.
spa_Latn;Pregunta: Si hay 3 autos en el estacionamiento y llegan 2 autos más, ¿cuántos autos hay en el estacionamiento?;Respuesta paso a paso: Hay 3 autos al principio, llegan 2 más, por lo tanto ahora debe haber 3 + 2 = 5 autos. La respuesta es 5.
tel_Telu;ప్రశ్న: రోజర్ వద్ద 5 టెన్నిస్ బంతులు ఉన్నాయి. అతడు మరో 2 క్యాన్‌ల టెన్నిస్ బంతులు కొనుగోలు చేశాడు. ప్రతి క్యాన్‌లో 3 టెన్నిస్ బంతులున్నాయి. ఇప్పుడు అతడి వద్ద ఎన్ని టెన్నిస్ బంతులు ఉన్నాయి?;దశలవారీగా సమాధానం: రోజర్ 5 బంతులతో ప్రారంభించాడు. 2 క్యాన్‌ల్లో ఒక్కదానిలో 3 టెన్నిస్ బంతులు అంటే 6 టెన్నిస్ బంతులు ఉన్నాయి. 5+6=11. సమాధానం 11.
tel_Telu;ప్రశ్న: సర్వర్ రూమ్‌లో తొమ్మిది కంప్యూటర్‌లు ఉన్నాయి. సోమవారం నుంచి గురువారం వరకు ప్రతిరోజూ మరో ఐదు కంప్యూటర్‌లు ఇన్‌స్టాల్ చేయబడ్డాయి. సర్వర్ రూమ్‌లో ఇప్పుడు ఎన్ని కంప్యూటర్‌లు ఉన్నాయి?కంప్యూటర్‌లుకంప్యూటర్‌లు;దశలవారీగా సమాధానం: సోమవారం నుంచి గురువారం వరకు 4 రోజులున్నాయి. ప్రతిరోజూ 5 కంప్యూటర్‌లు జోడించబడ్డాయి. అంటే మొత్తం 4*5=20 కంప్యూటర్‌లు జోడించబడ్డాయి. ప్రారంభంలో 9 కంప్యూటర్‌లు ఉన్నాయి, అందువల్ల ఇప్పుడు అవి 9+20=29 కంప్యూటర్‌లు సమాధానం 29.
tel_Telu;ప్రశ్న: లియా వద్ద 32 చాక్లెట్‌లు మరియు ఆమె సోదరి వద్ద 42 ఉన్నాయి. వారు 35 తిన్నట్లయితే, మొత్తం మీద వారి వద్ద ఎన్ని పీస్‌లు మిగిలి ఉన్నాయి?;దశలవారీగా సమాధానం: లియా వద్ద 32 చాక్లెట్‌లు ఉన్నాయి, లియా సోదరి వద్ద 42 చాక్లెట్‌లు ఉన్నాయి. అంటే వారి వద్ద వాస్తవంగా 32+42= 74 చాక్లెట్‌లు ఉన్నాయి. 35 చాక్లెట్‌లను తిన్నారు. అందువల్ల వారి వద్ద మొత్తం 74-35= 39 చాక్లెట్‌లు ఉన్నాయి. సమాధానం 39.చాక్లెట్‌లుచాక్లెట్‌లుచాక్లెట్‌లు
tel_Telu;ప్రశ్న: షాన్ వద్ద ఐదు బొమ్మలు ఉన్నాయి. అతడు క్రిస్టమస్ కొరకు తన అమ్మ మరియు నాన్నల నుంచి రెండేసి బొమ్మల చొప్పున పొందాడు. ఇప్పుడు అతడి వద్ద ఎన్ని బొమ్మలు ఉన్నాయి?;దశలవారీగా సమాధానం: అతడి వద్ద 5 బొమ్మలు ఉన్నాయి. అతడు అమ్మ దగ్గర నుంచి 2 పొందాడు, కాబట్టి ఆ తరువాత అతడి వద్ద 5+2=7 బొమ్మలున్నాయి. తరువాత తండ్రి వద్ద నుంచి అతడు మరో 2 పొందాడు. అందువల్ల మొత్తం మీద అతడి వద్ద 7+2=9 బొమ్మలున్నాయి. సమాధానం 9.బొమ్మలున్నాయి.
tel_Telu;ప్రశ్న: మైకెల్ వద్ద 58 గోల్ఫ్ బాల్స్ ఉన్నాయి. మంగళవారం నాడు, అతడు 23 గోల్ఫ్ బాల్స్‌ని పొగొట్టుకున్నాడు. బుధవారం నాడు, అతడు మరో 2 పోగొట్టుకున్నాడు. బుధవారం చివరికి అతడి వద్ద ఎన్ని గోల్ఫ్ బాల్‌లు ఉన్నాయి?;దశలవారీగా సమాధానం: మైకెల్ 58 గోల్ఫ్ బాల్స్‌తో ప్రారంభించాడు మరియు 23 పోగొట్టుకున్నాడు, అందువల్ల అతడి వద్ద 58-23=35 ఉన్నాయి. అతడు మరో 2 కోల్పోయిన తరువాత, అతడి వద్ద ఇప్పుడు 35-2=33 బాల్స్ ఉన్నాయి. సమాధానం 33.
tel_Telu;ప్రశ్న: ఒలీవియా వద్ద $23 ఉన్నాయి. ఆమె ఒక్కొక్కటి $3 విలువ చేసే ఐదు గాజులు కొనుగోలు చేసింది. ఆమె వద్ద ఎంత డబ్బు మిగిలి ఉంది?;దశలవారీగా సమాధానం: ఒక్కొక్కటి $3 చొప్పున 5 గాజుల ధర 5*3=15 డాలర్లు. ఒలీవియా వద్ద ప్రారంభంలో $23 ఉన్నాయి. అందువల్ల ఇప్పుడు ఆమె వద్ద 23-15=8 డాలర్లు మిగిలి ఉన్నాయి. సమాధానం 8.
tel_Telu;ప్రశ్న: జేసన్ వద్ద 20 లాలీపాప్‌లు ఉన్నాయి. అతడు డెన్నీకి కొన్ని లాలీపాప్‌లు ఇచ్చాడు. ఇప్పుడు జేసన్ వద్ద 12 లాలీపాప్‌లు ఉన్నాయి. డెన్నీకి జేసన్ ఎన్ని లాలీపాప్‌లు ఇచ్చాడు?లాలీపాప్‌లులాలీపాప్‌లులాలీపాప్‌లు;దశలవారీగా సమాధానం: జేసన్ 20 లాలీపాప్‌లతో ప్రారంభించాడు, కానీ ఇప్పుడు అతడి వద్ద 12 మాత్రమే ఉన్నాయి, అందువల్ల అతడు డెన్నీకి 20-12=8 లాలీపాప్‌లు ఉన్నాయి. సమాధానం 8.
tel_Telu;ప్రశ్న: పార్కింగ్ లాట్‌లో 3 కార్లు ఉండి, మరో 2 కార్లు వచ్చినట్లయితే, పార్కింగ్ లాట్‌లో ఎన్ని కార్లు ఉన్నాయి?;దశలవారీగా సమాధానం: ప్రారంభంలో 3 కార్లు ఉన్నాయి, మరో 2 కార్లు వచ్చాయి, అందువల్ల ఇప్పుడు 3+2=5 కార్లు ఉన్నాయి. సమాధానం 5.
tha_Thai;โจทย์: โรเจอร์มีลูกเทนนิส 5 ลูก เขาซื้อลูกเทนนิสเพิ่มอีก 2 กระป๋อง โดยแต่ละกระป๋องมีลูกเทนนิส 3 ลูก ตอนนี้เขามีลูกเทนนิสกี่ลูก;คำตอบทีละขั้นตอน: โรเจอร์เริ่มด้วยการมีลูกเทนนิส 5 ลูก กระป๋อง 2 ใบที่มีลูกเทนนิสใบละ 3 ลูก เท่ากับมีลูกเทนนิส 6 ลูก ดังนั้น 5 + 6 = 11 คำตอบคือ 11
tha_Thai;โจทย์: มีคอมพิวเตอร์เก้าเครื่องในห้องเซิร์ฟเวอร์ โดยตั้งแต่วันจันทร์ถึงวันพฤหัสบดีมีคอมพิวเตอร์ติดตั้งเพิ่มอีกวันละห้าเครื่อง ตอนนี้มีคอมพิวเตอร์ในห้องเซิร์ฟเวอร์กี่เครื่อง;คำตอบทีละขั้นตอน: ตั้งแต่วันจันทร์ถึงวันพฤหัสบดีรวมกันเป็น 4 วัน โดยแต่ละวันเพิ่มคอมพิวเตอร์ไป 5 เครื่อง แสดงว่าเพิ่มคอมพิวเตอร์ไปทั้งหมด 4 * 5 = 20 เครื่อง แรกเริ่มมีคอมพิวเตอร์อยู่ 9 เครื่อง ดังนั้น ตอนนี้จะมีคอมพิวเตอร์อยู่ 9 + 20 = 29 เครื่อง คำตอบคือ 29
tha_Thai;โจทย์: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น หากทั้งสองคนทานช็อกโกแลตไปแล้ว 35 ชิ้น จะเหลือช็อกโกแลตทั้งหมดกี่ชิ้น;คำตอบทีละขั้นตอน: ลีอามีช็อกโกแลตอยู่ 32 ชิ้น และน้องสาวมีช็อกโกแลตอยู่ 42 ชิ้น แสดงว่าเดิมมีช็อกโกแลตอยู่ 32 + 42 = 74 ชิ้น หากทานไปแล้ว 35 ชิ้น ดังนั้นจะเหลือช็อกโกแลตทั้งหมดอยู่ 74 - 35 = 39 ชิ้น คำตอบคือ 39
tha_Thai;โจทย์: ชอว์นมีของเล่นห้าชิ้น ในวันคริสต์มาส เขาได้รับของเล่นจากแม่และพ่อคนละสองชิ้น ตอนนี้ชอว์นมีของเล่นกี่ชิ้น;คำตอบทีละขั้นตอน: ชอว์นมีของเล่น 5 ชิ้น เขาได้รับของเล่นจากแม่ 2 ชิ้น แสดงว่าตอนนี้ชอว์นมีของเล่นอยู่ 5 + 2 = 7 ชิ้น แล้วเขาก็ได้รับของเล่นจากพ่อเพิ่มอีก 2 ชิ้น ดังนั้น ชอว์นจึงมีของเล่นรวมทั้งหมด 7 + 2 = 9 ชิ้น คำตอบคือ 9
tha_Thai;โจทย์: ไมเคิลมีลูกกอล์ฟ 58 ลูก ในวันอังคาร เขาทำลูกกอล์ฟหายไป 23 ลูก, ในวันพุธ เขาทำหายอีก 2 ลูก, สิ้นสุดวันพุธ ไมเคิลมีลูกกอล์ฟกี่ลูก;คำตอบทีละขั้นตอน: แรกเริ่ม ไมเคิลมีลูกกอล์ฟอยู่ 58 ลูกและทำหายไป 23 ลูก แสดงว่าเขาเหลือลูกกอล์ฟอยู่ 58 - 23 = 35 ลูก หลังจากนั้นเขาทำหายอีก 2 ลูก ดังนั้น ตอนนี้เขาจึงมีลูกกอล์ฟอยู่ 35 - 2 = 33 ลูก คำตอบคือ 33
tha_Thai;โจทย์: โอลิเวียมีเงินอยู่ $23 เธอซื้อขนมปังเบเกิลไปห้าชิ้น ราคาชิ้นละ $3 โอลิเวียเหลือเงินอยู่เท่าไร;คำตอบทีละขั้นตอน: ขนมปังเบเกิล 5 ชิ้น ราคาชิ้นละ $3 รวมเป็นเงิน 5 * 3 = 15 ดอลลาร์ แรกเริ่มโอลิเวียมีเงินอยู่ $23 ดังนั้น ตอนนี้โอลิเวียจะเหลือเงินอยู่ 23 - 15 = 8 ดอลลาร์ คำตอบคือ 8
tha_Thai;โจทย์: เจสันมีลูกอมโลลิป๊อป 20 แท่ง เขาให้แดนนี่ไปจำนวนหนึ่งจนตอนนี้เหลือลูกอมโลลิป๊อปอยู่ 12 แท่ง เจสันให้ลูกอมโลลิป๊อปกับแดนนี่ไปกี่แท่ง;คำตอบทีละขั้นตอน: แรกเริ่มเจสันมีลูกอมโลลิป๊อปอยู่ 20 แท่ง แต่ตอนนี้เขาเหลือลูกอมโลลิป๊อปอยู่เพียง 12 แท่ง ดังนั้น เจสันให้ลูกอมโลลิป๊อปแดนนี่ไป 20 - 12 = 8 แท่ง คำตอบคือ 8
tha_Thai;โจทย์: หากที่จอดรถมีรถยนต์จอดอยู่ 3 คัน และมีรถยนต์ที่เพิ่งขับมาถึงอีก 2 คัน ที่จอดรถมีรถยนต์กี่คัน;คำตอบทีละขั้นตอน: แรกเริ่มมีรถยนต์อยู่ 3 คัน ขับมาถึงที่จอดรถอีก 2 คัน ดังนั้น จะมีรถยนต์รวมกันเป็น 3 + 2 = 5 คัน คำตอบคือ 5
jap_Japn;問題：ロジャーは5個のテニスボールがあります。テニスボールの缶を2つ追加で買います。それぞれの缶には3つのテニスボールが入っています。彼は今いくつのテニスボールがありますか？;ステップごとの答え：ロジャーは最初5個のボールがありました。テニスボール3個入りの缶が2つあれば、テニスボールは6個あります。5+6=11。答えは11です。
jap_Japn;問題：サーバールームには9台のコンピューターがありました。月曜日から木曜日まで毎日5台のコンピューターをインストールしました。今サーバールームには難題のコンピューターがありますか？;ステップごとの答え：月曜から木曜まで4日あります。毎日5台のコンピューターが追加されます。つまり、全部で4*5=20台のコンピューターが追加されました。最初に9台のコンピューターがあったので、今は9+20=29台のコンピューターとなります。答えは29です。
jap_Japn;問題：リアは32個のチョコレートを持っていました、彼女の妹は42個持っていました。彼女達が35個食べたとしたら、全部で何個残っていますか？;ステップごとの答え：リアは32個のチョコレートを持っており、リアの妹は42個持っていた。つまり、元々32+42=74個のチョコレートがあった。35個が食べられた。だから全部で、彼女たちには74-35=39個のチョコレートが残っている。答えは39個。
jap_Japn;問題：ショーンは5個のおもちゃを持っています。クリスマスに、彼は父と母からそれぞれ2つずつおもちゃをもらいました。今彼はいくつのおもちゃがありますか？;ステップごとの答え：彼は5個おもちゃを持っています。母から2つもらった後は、5+2=7個のおもちゃがあります。その後父から2つさらにもらい、全部で彼は、7+2=9個のおもちゃがあります。答えは9個です。
jap_Japn;"問題：マイケルは58個のゴルフボールを持っています。火曜日、彼は
23個のゴルフボールを失くしました。水曜日、さらに2個失くしました。水曜日の終わりには、彼は何このゴルフボールを持っていましたか？";ステップごとの答え：マイケルは最初58個のゴルフボールがあり、23個なくしました、だから彼は58-23=35個残っています。彼があと2個なくした後、彼は今35-2=33個残っています。答えは33個です。
jap_Japn;問題：オリビアには$23あります。彼女はそれぞれ$3のベーグルを5つ買いました。彼女にはいくらのお金が残っていますか？;ステップごとの答え：$3のベーグルは5個で、5*3=15ドルになるはずです。オリビアは最初$23あったので、今彼女には23-15=8ドル残っています。答えは8です。
